timestamp,sensor,data
1751517488.0932324,esc,"([0, 1, 1, 1], [16348, 24390, 12431, 2410], [610741, 610736, 610738, 610739], [0, 0, 0, 0])"
1751517488.1132326,status,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)"
1751517488.1737723,imu,"(-0.02359, -0.00278, -1.00092, 0.00039, 0.00752, 0.00295)"
1751517488.1927662,esc,"([0, 1, 1, 1], [16348, 24390, 12431, 2410], [610741, 610736, 610738, 610739], [0, 0, 0, 0])"
1751517488.21277,status,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)"
1751517488.2543128,attitude,"(-6.57, -1.37, 2.01)"
1751517488.2733126,position,"(0.58032, -0.06566, 0.0)"
1751517488.2933137,imu,"(-0.0226, -0.00516, -1.01479, 0.00196, 0.00646, -0.00089)"
1751517488.313314,esc,"([0, 1, 1, 1], [16348, 24390, 12431, 2410], [610741, 610736, 610738, 610739], [0, 0, 0, 0])"
1751517488.3333175,status,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)"
1751517488.3938465,imu,"(-0.01847, -0.00158, -1.01902, -0.00675, 0.00976, 0.01027)"
1751517488.4138541,esc,"([0, 1, 1, 1], [16348, 24390, 12431, 2410], [610741, 610736, 610738, 610739], [0, 0, 0, 0])"
1751517488.4328628,status,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)"
1751517488.4534116,attitude,"(-6.55, -1.38, 1.98)"
1751517488.4734054,position,"(0.59531, -0.06769, 0.0)"
1751517488.4934123,imu,"(-0.02755, 0.00389, -1.01636, 0.00118, 0.00255, 0.02182)"
1751517488.51341,esc,"([0, 1, 1, 1], [16348, 24390, 12431, 2410], [610741, 610736, 610738, 610739], [0, 0, 0, 0])"
1751517488.5334208,status,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)"
1751517488.5939534,imu,"(-0.0097, 0.01015, -1.01781, 0.00616, -0.00306, -0.00732)"
