timestamp,acc_x_g,acc_y_g,acc_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps
0.2555050849914551,0.23002,0.0044,-1.03144,-0.0124,-0.00921,-0.00297
0.4481980800628662,-0.18993,0.0343,-1.0218,-0.0158,0.0048,-0.02477
0.6562156677246094,-0.00387,-0.00312,-1.03997,-0.04634,-0.06599,0.00725
0.8556540012359619,0.16019,-0.00258,-1.00048,0.04437,0.01116,-0.01112
1.0559306144714355,0.00279,-0.02001,-1.00623,-0.00049,0.05157,0.02093
1.2501111030578613,-0.10685,-0.0034,-1.0009,0.03123,0.02639,-0.01245
1.4483957290649414,-0.01877,-0.01773,-1.0795,0.01068,-0.08706,0.01261
1.6560769081115723,-0.07716,-0.01426,-1.02598,-0.00443,-0.01481,0.00541
1.8721275329589844,-0.05408,-0.01943,-0.99858,0.0223,0.01447,0.0345
2.0942564010620117,-0.01086,0.0275,-1.01783,0.00915,0.01034,-0.02061
2.2954273223876953,-0.01147,0.02048,-1.01851,0.00107,0.00639,-0.00859
2.4960334300994873,-0.0252,-0.01347,-1.00777,-0.01562,0.01379,0.05444
2.688858985900879,-0.02501,-0.00207,-1.01376,-0.01098,0.00405,0.7321
2.9125168323516846,0.0341,-0.01035,-1.01216,-0.0211,0.00121,0.7896
3.1249587535858154,-0.03347,0.00205,-1.03146,0.00061,-0.02224,0.76276
3.3093111515045166,0.01894,0.0263,-1.01921,0.00507,0.00509,0.77097
3.5053415298461914,-0.00805,0.00319,-1.00973,0.02017,0.02712,0.77061
3.715496301651001,-0.00675,0.02979,-1.04587,-0.01969,-0.01963,0.71397
3.9115381240844727,-0.00339,-0.00894,-1.00833,-0.00854,-0.00876,0.79836
4.114088296890259,-0.00199,0.00081,-1.02094,-0.01248,-0.01064,0.80603
4.332653522491455,-0.00657,-0.00235,-1.00783,-0.01378,0.00911,0.79624
4.529554843902588,0.01555,0.06371,-1.01345,0.00835,0.01543,0.56888
4.738328695297241,-0.00372,0.01127,-1.0172,0.00296,0.00898,0.00491
4.937272787094116,-0.01636,0.0075,-1.01653,0.00102,0.01005,0.00631
5.136643171310425,0.21908,-0.02506,-1.0222,0.04057,0.00531,0.16517
5.352371692657471,-0.19279,0.01622,-1.00829,-0.03138,0.01656,-0.00143
5.543839693069458,-0.1169,-0.02371,-1.01116,-0.02205,0.01109,0.03295
5.755583763122559,0.06477,0.01192,-1.01685,-0.01028,0.00426,0.00728
5.967642307281494,0.08328,0.01701,-0.99405,0.00036,0.05126,0.01163
6.177212238311768,-0.04694,-0.00218,-0.99496,0.02062,0.01257,0.01103
6.3616943359375,-0.06252,0.04686,-1.0144,-0.05334,0.00385,0.00423
6.568053483963013,-0.11461,-0.01087,-1.0134,0.00794,0.00403,0.02476
6.776978015899658,-0.08189,0.02157,-1.0288,-0.00055,-0.0151,-0.02345
6.9776365756988525,-0.01567,0.00019,-1.01579,0.00288,0.02659,-0.00259
7.171506881713867,-0.03092,-0.00974,-1.01936,0.00047,0.00696,0.0407
7.396639585494995,-0.10795,-0.14016,-1.03387,-0.04074,-0.00393,0.80557
7.5942299365997314,-0.08184,-0.052,-0.99401,0.03165,0.04354,0.70788
7.792616128921509,0.03732,-0.01262,-1.01285,0.009,0.00835,0.8338
7.997235298156738,-0.05405,0.01249,-1.01424,-0.00045,0.00623,0.73275
8.206058740615845,0.0074,-0.00488,-1.01729,-0.01583,0.00865,0.77421
8.417235612869263,-0.01964,0.01608,-1.02887,-0.02122,-0.01141,0.796
8.616739988327026,0.00062,0.01101,-1.02483,0.0023,-0.01056,0.77467
8.828117609024048,-0.0011,-0.01495,-1.02462,-0.04617,0.01792,0.81482
9.037009000778198,-0.00816,0.04613,-1.03044,0.00273,-0.00373,0.72175
9.227126121520996,0.0092,0.01533,-1.00942,0.0045,0.00855,0.77814
9.436975002288818,0.01344,0.05472,-1.00931,0.00952,0.02222,0.3412
9.622714281082153,-0.01667,0.00967,-1.01869,0.0027,0.0058,0.0064
9.83750057220459,-0.00816,0.01071,-1.01702,0.00258,0.00828,0.00748
10.056572437286377,0.27783,0.08457,-1.01523,0.01674,0.00655,0.03546
10.258221626281738,-0.00469,-0.01843,-1.01567,0.03031,0.0147,-0.0071
10.457160472869873,-0.15693,0.04803,-1.00582,0.00305,0.02368,-0.03029
10.650238275527954,-0.00921,-0.03364,-1.01987,0.04404,-0.01326,0.07806
10.857516527175903,0.12149,-0.0298,-1.00175,0.05245,0.0205,0.03696
11.054621934890747,-0.00731,0.00892,-1.00765,0.03139,0.01174,0.00906
11.270416736602783,-0.0677,0.04121,-0.99577,-0.03581,-0.00157,0.01783
11.47544002532959,-0.1775,-0.02986,-1.00947,0.02581,0.01794,-0.00296
11.670389413833618,-0.06213,0.02455,-1.00894,-0.00577,-0.03178,0.00569
